row_id,payload,expected_class,source_file
1,"{'Pregnancies': 10.0, 'Glucose': 125.0, 'BloodPressure': 70.0, 'SkinThickness': 26.0, 'Insulin': 115.0, 'BMI': 31.1, 'DiabetesPedigreeFunction': 0.205, 'Age': 41.0, 'Outcome': 1.0}",Sensitive,diabetes.csv
2,"{'time': '1451971092', 'use [kW]': 0.58455, 'gen [kW]': 0.00245, 'House overall [kW]': 0.58455, 'Dishwasher [kW]': 0.0, 'Furnace 1 [kW]': 0.020533333, 'Furnace 2 [kW]': 0.066666667, 'Home office [kW]': 0.040666667, 'Fridge [kW]': 0.128, 'Wine cellar [kW]': 0.155366667, 'Garage door [kW]': 0.012966667, 'Kitchen 12 [kW]': 0.00065, 'Kitchen 14 [kW]': 0.0, 'Kitchen 38 [kW]': 0.0, 'Barn [kW]': 0.0301, 'Well [kW]': 0.001, 'Microwave [kW]': 0.004116667, 'Living room [kW]': 0.001616667, 'Solar [kW]': 0.00245, 'temperature': 69.4, 'icon': 'partly-cloudy-night', 'humidity': 0.87, 'visibility': 9.17, 'summary': 'Mostly Cloudy', 'apparentTemperature': 69.4, 'pressure': 1017.42, 'windSpeed': 6.54, 'cloudCover': '0.62', 'windBearing': 47.0, 'precipIntensity': 0.0015, 'dewPoint': 65.19, 'precipProbability': 0.03}",Public,HomeC.csv
3,"{'Employee_ID': 29235, 'Employee_Name': 'Mia Wilson', 'Age': 45, 'Country': 'Brazil', 'Department': 'Marketing', 'Position': 'Analyst', 'Salary': 43362.84, 'Joining_Date': '2025-02-13'}",Sensitive,employee_records.csv
4,"{'id': 72934, 'Airline': 'FL', 'Flight': 1267, 'AirportFrom': 'BMI', 'AirportTo': 'MCO', 'DayOfWeek': 7, 'Time': 629, 'Length': 142, 'Delay': 1}",Public,Airlines.csv
5,"{'Rank': 44, 'CCA3': 'PER', 'Country/Territory': 'Peru', 'Capital': 'Lima', 'Continent': 'South America', '2022 Population': 34049588, '2020 Population': 33304756, '2015 Population': 30711863, '2010 Population': 29229572, '2000 Population': 26654439, '1990 Population': 22109099, '1980 Population': 17492406, '1970 Population': 13562371, 'Area (kmÂ²)': 1285216, 'Density (per kmÂ²)': 26.4933, 'Growth Rate': 1.0099, 'World Population Percentage': 0.43}",Public,world_population.csv
6,"{'source_text': '- Meeting at 2:33 PM\n- N23 - Meeting at 11:29pm\n- wennmann27 - Meeting at 4:45 PM\n\nKindly make sure to adjust your schedules accordingly. Our group messaging platform will be utilized for any updates, reminders, or changes to the agenda. This collaborative approach will ensure smooth communication and coordination throughout the admissions process.\n\nLooking forward to our productive discussions and successful collaboration.\n\nWarm regards,\n[Your Name]', 'language': 'English', 'record_id': '40767B', 'split_set': 'train'}",Sensitive,pii_masking_sample.csv
7,"{'Transaction_ID': 531167.0, 'Customer_ID': 48030.0, 'Transaction_Amount (in Million)': 7.0, 'Transaction_Time': '02:05', 'Transaction_Date': '2025-04-17', 'Transaction_Type': 'POS', 'Merchant_ID': 72731.0, 'Merchant_Category': 'Clothing', 'Transaction_Location': 'Karachi', 'Customer_Home_Location': 'Islamabad', 'Distance_From_Home': 272.0, 'Device_ID': 323233.0, 'IP_Address': '113.167.197.89', 'Card_Type': 'Debit', 'Account_Balance (in Million)': 15.0, 'Daily_Transaction_Count': 4.0, 'Weekly_Transaction_Count': 20.0, 'Avg_Transaction_Amount (in Million)': 4.0, 'Max_Transaction_Last_24h (in Million)': 6.0, 'Is_International_Transaction': 'Yes', 'Is_New_Merchant': 'No', 'Failed_Transaction_Count': 0.0, 'Unusual_Time_Transaction': 'Yes', 'Previous_Fraud_Count': 1.0, 'Fraud_Label': 'Normal'}",Sensitive,FraudShield_Banking_Data.csv
8,"{'time': '1451746449', 'use [kW]': 0.43945, 'gen [kW]': 0.003316667, 'House overall [kW]': 0.43945, 'Dishwasher [kW]': 0.0, 'Furnace 1 [kW]': 0.063083333, 'Furnace 2 [kW]': 0.117566667, 'Home office [kW]': 0.041683333, 'Fridge [kW]': 0.005483333, 'Wine cellar [kW]': 0.00695, 'Garage door [kW]': 0.01285, 'Kitchen 12 [kW]': 0.00065, 'Kitchen 14 [kW]': 0.0, 'Kitchen 38 [kW]': 1.67e-05, 'Barn [kW]': 0.031766667, 'Well [kW]': 0.001, 'Microwave [kW]': 0.0041, 'Living room [kW]': 0.001466667, 'Solar [kW]': 0.003316667, 'temperature': 44.95, 'icon': 'partly-cloudy-day', 'humidity': 0.86, 'visibility': 9.74, 'summary': 'Partly Cloudy', 'apparentTemperature': 44.95, 'pressure': 997.77, 'windSpeed': 1.79, 'cloudCover': '0.31', 'windBearing': 352.0, 'precipIntensity': 0.0, 'dewPoint': 41.16, 'precipProbability': 0.0}",Public,HomeC.csv
9,"{'time': '1451823695', 'use [kW]': 0.251233333, 'gen [kW]': 0.386183333, 'House overall [kW]': 0.251233333, 'Dishwasher [kW]': 0.000283333, 'Furnace 1 [kW]': 0.020233333, 'Furnace 2 [kW]': 0.068633333, 'Home office [kW]': 0.054033333, 'Fridge [kW]': 0.005233333, 'Wine cellar [kW]': 0.00695, 'Garage door [kW]': 0.01295, 'Kitchen 12 [kW]': 0.000783333, 'Kitchen 14 [kW]': 8.33e-05, 'Kitchen 38 [kW]': 0.0, 'Barn [kW]': 0.28825, 'Well [kW]': 0.001, 'Microwave [kW]': 0.004233333, 'Living room [kW]': 0.001033333, 'Solar [kW]': 0.386183333, 'temperature': 47.51, 'icon': 'clear-night', 'humidity': 0.93, 'visibility': 6.99, 'summary': 'Clear', 'apparentTemperature': 47.51, 'pressure': 1012.81, 'windSpeed': 0.0, 'cloudCover': '0.08', 'windBearing': 16.0, 'precipIntensity': 0.0, 'dewPoint': 45.57, 'precipProbability': 0.0}",Public,HomeC.csv
10,"{'Employee_ID': 17871, 'Employee_Name': 'Lily Brown', 'Age': 28, 'Country': 'USA', 'Department': 'Marketing', 'Position': 'Manager', 'Salary': 91070.23, 'Joining_Date': '2015-04-01'}",Sensitive,employee_records.csv
